epo_id	eng_id	epo	eng	base_epo	base_eng
8755680	8415576	La kato nun dormas.	The cat's asleep.	0	0
9057540	9059438	Tomo iam estis kapitalisto.	Tom used to be a capitalist.	0	0
9314667	9314671	Mi jam supozis tion.	I already thought as much.	0	0
9764351	9764352	Mi ne ŝatas la fraton de Tomo.	I don't like Tom's brother.	0	0
9764353	9764354	Kia mojosa tatuaĵo!	Cool tattoo!	0	0
9771898	9771897	La homo estas la plej pigra besto.	Humans are the laziest animals.	0	0
9781324	9781320	Traŭmato estas ŝtelisto.	Trauma is a thief.	0	0
9806539	9806547	Mi ne ŝatas alkoholon.	I don't like alcohol.	0	0
9806540	9806547	Mi ne ŝatas alkoholaĵojn.	I don't like alcohol.	0	0
9816868	9816866	Mi bezonas ambaŭ.	I need both.	0	0
9818828	9818825	Tomo aĉetis kukolhorloĝon, sed lia edzo ne povas elteni la bruon.	Tom bought a cuckoo clock, but his husband can't stand the noise.	0	0
9842522	9842521	Iuj tradicioj estas stultaj.	Some traditions are dumb.	0	0
9853672	9853674	Se vi faras, kion vi ĉiam faris, vi ricevos, kion vi ĉiam ricevis.	If you do what you’ve always done, you’ll get what you’ve always gotten.	0	0
9939115	9939114	Tomo azeniĝis.	Tom turned into a donkey.	0	0
10127864	10127863	Tomo estas unulingva franclingvano.	Tom is a monolingual French speaker.	0	0
10153634	10153633	Kiel odorus Urano?	What would Uranus smell like?	0	0
10234025	10234026	Kompreneble ni havas fulmoŝirmilon.	Of course we have a lightning rod.	0	0
10247612	11024147	Tomo estas bruto.	Tom is a meathead.	0	0
10313809	10313808	Ni du estas amikoj.	The two of us are friends.	0	0
10359130	10359127	Ĉi tiu verko estas disponebla laŭ la permesilo Krea Komunaĵo Atribuite 4.0 Tutmonda.	This work is licensed under a Creative Commons Attribution 4.0 International license.	0	0
10359131	10359108	Ĉi tiu verko estas disponebla laŭ la permesilo CC BY 4.0.	This work is licensed under a CC BY 4.0 license.	0	0
11563491	11563414	Poezio panon ne donas.	Poetry doesn't pay.	0	0
11747778	11747767	Kontraŭabortigaj leĝoj mortigas virinojn.	Anti-abortion laws kill women.	0	0
